id,kind,section,name,short,trigger,blocks_training,blocks_internal,blocks_release,d_us_low,d_us_central,d_us_high,d_access_low,d_access_central,d_access_high,d_china_low,d_china_central,d_china_high,net_own,net_some,net_lot,net_most,risk_cut_low,risk_cut_central,risk_cut_high,risk_band,risk_group,harms,protects,risk_why,market_price,basis,how,recurrence,confidence,evidence,uncertainty,requires,baseline,reasoning,steelman,sources
"ai-rnd-limits","policy","specials","Human sign-off on automated AI research","AI agents can assist with AI research, but humans must direct and approve it.","Frontier developers using AI systems to automate their own research.","cond","yes","no","0.05194","0.13417","0.26405","0.00107","0.03353","0.05408","0","0","0","0.13","0.13","0.12","0.11","0.0200","0.0700","0.1500","Medium","control","catastrophe power","Keeps humans in charge as AI starts doing AI research, which could otherwise speed up beyond anyone's oversight.","Many researchers see AI automating AI research as the step where progress could outrun oversight. Keeping humans in the loop targets that directly.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up about 4 days behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","Per year","Low","medium","How much faster AI-run research is making the labs, which they are only starting to measure.","Require a human to direct and approve research experiments carried out by AI agents inside frontier labs. | Prohibit fully autonomous AI research loops above a capability threshold. | Report the share of research work done by AI systems.","Both major frameworks already treat automated AI research as a danger sign. Anthropic's Responsible Scaling Policy v3.4 has an automated R&D threshold met if its models could fully substitute for its research scientists and engineers, or if AI progress doubled in speed. OpenAI's Preparedness Framework lists fully automated AI R&D as a Critical capability. Neither framework limits today's partial automation.","Existing human oversight is already in the baseline. Incremental checkpoints create service and handoff delays, magnified when reviewers are busy. Only affected task chains are charged. Fully autonomous work rises under an explicit first-year scenario rather than being assumed ubiquitous today.
In the model, a year after the rule takes effect, U.S. capability is about 4 days behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, about 4 days, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","This is the policy most likely to get more expensive over time. If AI research automation is the main driver of progress in 2027 and beyond, keeping humans in every loop could halve the pace of the frontier. China's labs would face no such limit.","Anthropic, When AI builds itself <https://www.anthropic.com/institute/recursive-self-improvement> | OpenAI, Research acceleration: the view inside OpenAI (Sept 2026) <https://openai.com/index/research-acceleration-view-inside-openai/> | Anthropic Responsible Scaling Policy v3.4 <https://cdn.sanity.io/files/4zrzovbb/website/0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a.pdf> | OpenAI Preparedness Framework v2 <https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf>"
"safety-compute-share","policy","specials","One-third of AI research budgets on safety","At least a third of AI R&D spending goes to safety, as leading researchers proposed in Science.","Frontier developers' AI research budgets, including compute.","cond","no","no","0.47878","1.1521","1.86262","0.16859","0.43986","0.69692","0","0","0","1.15","1.04","0.93","0.82","0.0200","0.0800","0.1800","Medium","research","catastrophe","Makes labs spend far more on learning to control AI, not just on making it stronger.","Safety gets a small share of lab research today. Moving to a third speeds up the work that every other safeguard depends on.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up about 1 months behind where it would be; China loses about 3 days more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","Per year","Medium-low","medium","How much labs already spend on safety, which none of them publish.","Allocate at least one-third of AI research and development budgets to safety and ethical use. | Count compute, not just salaries.","Labs spend real money on safety research and testing but do not publish the share. Estimates in public discussion range from a few percent to perhaps a tenth of compute at the most safety-focused labs.","The one-third requirement covers R&D budgets. A one-week AI-R&D compute snapshot at one lab is informative but is not a measurement of industry-wide total-budget safety shares. Safety-capability overlap and a possible budget response reduce displacement. A permanent share change is a level/resource shock, not another identical annual delay.
In the model, a year after the rule takes effect, U.S. capability is about 1 months behind its baseline path and China's is about 3 days behind at the model's central assumption about dependence. The difference, about 1 months, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","If labs spend far less than a tenth on safety today, the rule could take a quarter or more of their compute, and the cost would approach two months a year. Safety research also competes for the same scarce senior researchers.","Bengio, Hinton et al., Managing extreme AI risks amid rapid progress, Science (May 2024) <https://arxiv.org/abs/2310.17688> | Epoch AI, Training compute of frontier AI models grows by 4-5x per year <https://epoch.ai/blog/training-compute-of-frontier-ai-models-grows-by-4-5x-per-year> | Epoch AI, Algorithmic progress in language models <https://epoch.ai/blog/algorithmic-progress-in-language-models>"
"strict-liability","policy","mains","Product liability for AI harms","Victims can sue AI companies when their systems cause harm, under federal product liability law.","Developers and deployers of AI systems.","no","no","cond","0.00065","0.00831","0.01595","0.00311","0.03852","0.07401","0","0","0","0.01","-0.00","-0.01","-0.02","0.0000","0.0200","0.0400","Small","incentives","catastrophe everyday","Makes labs pay for serious harms their models cause, so they have a reason to prevent them.","Paying for harms gives labs a reason to be careful. But no company can pay for a true catastrophe, so the incentive is weakest where it matters most.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","Per year","Low","low","How much caution the threat of lawsuits actually buys, and whether it spills over from product decisions into research.","Classify AI systems as products for liability purposes. | Create a federal cause of action for product liability claims when an AI system causes harm (the AI LEAD Act, S. 2937).","AI companies already face ordinary lawsuits, and many are pending. What they do not face is a clear federal rule that treats AI systems as products, which would make those suits easier to bring and win.","The financing channel multiplies exposed investment, an added risk premium, an investment response and productive redirection. A separate trust/demand offset allows net gains. Recent economics informs the channels; no medical-device coefficient is mechanically transplanted into frontier AI.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Open-ended liability can freeze a whole field. If juries treat any misuse of a general-purpose model as a product defect, labs could slow every release, stop publishing open models, and move research abroad. That could cost months, not weeks.","Durbin, Hawley introduce bill allowing victims to sue AI companies (Sept 29, 2025) <https://www.durbin.senate.gov/newsroom/press-releases/durbin-hawley-introduce-bill-allowing-victims-to-sue-ai-companies> | S. 2937 bill status (govinfo) <https://www.govinfo.gov/bulkdata/BILLSTATUS/119/s/BILLSTATUS-119s2937.xml>"
"data-licensing","policy","specials","Consent to train on copyrighted work","No training on copyrighted works or personal data without clear, affirmative consent.","Training of generative AI systems on copyrighted works or personal data.","yes","no","no","0.56916","0.98471","1.57835","0.18448","0.46452","0.66055","0","0","0","0.98","0.87","0.75","0.64","0.0000","0.0000","0.0000","None","","everyday","Protects writers, artists and other creators whose work trains AI.","A copyright and fairness rule. It doesn't target catastrophic risk.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up about 4.5 weeks behind where it would be; China loses about 4 days more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Low","medium","How much training data labs could license quickly, and how much capability depends on the rest.","Obtain clear, affirmative consent before using copyrighted works or personal data, including to train a generative AI system (AI Accountability and Personal Data Protection Act, S. 2367). | Give individuals a right to sue for use without consent.","Labs have begun licensing some data from publishers and paid to settle past claims. Anthropic's $1.5 billion settlement with authors covered about 482,000 pirated books and only past conduct. Most training data is still used without explicit consent.","Quality-adjusted unique data can be licensed, replaced, repeated or traded against parameters. The model reoptimizes the training recipe. Published saturation coefficients come from smaller models, so frontier transport and legally available substitutions remain important assumptions.
In the model, a year after the rule takes effect, U.S. capability is about 4.5 weeks behind its baseline path and China's is about 4 days behind at the model's central assumption about dependence. The difference, about 4 weeks, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Chinese labs would not follow U.S. consent rules. If the rule removes a large share of high-quality text and code, the capability hit could persist for years, not a single training run.","S. 2367 bill text (govinfo) <https://www.govinfo.gov/content/pkg/BILLS-119s2367is/html/BILLS-119s2367is.htm> | Hawley and Blumenthal unveil bipartisan bill (July 2025) <https://www.hawley.senate.gov/hawley-blumenthal-unveil-bipartisan-bill-empowering-working-americans-to-sue-big-tech-ai-companies-for-stealing-creative-works/> | Authors Alliance, Bartz v. Anthropic settlement gets preliminary approval <https://www.authorsalliance.org/2025/09/28/bartz-v-anthropic-settlement-gets-preliminary-approval-key-takeaways/> | Epoch AI, Will we run out of data? <https://epoch.ai/blog/will-we-run-out-of-data-limits-of-llm-scaling-based-on-human-generated-data>"
"light-vetting","policy","sides","Background checks for lab staff","A standard background check for all lab employees, with no clearance-level vetting.","All employees of frontier developers.","no","no","no","0","0.00175","0.00311","0.0001","0.00043","0.00095","0.00059","0.00263","0.00583","-0.00","-0.00","-0.00","-0.00","0.0000","0.0050","0.0100","Tiny","security","catastrophe power","Makes it harder for spies or bad actors to get jobs inside frontier labs.","Background checks make insider threats slightly harder but won't stop a determined state spy.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China falls under a day directly. Most of the model's inputs are stated assumptions.","Per year","Low","low","How much insider risk standard checks remove, which nobody has measured.","Background checks for all employees (RAND security level 3). | Risk-based screening scaled to access, rather than blanket exclusion (as proposed in Just Security, 2026).","Many labs already run some background screening. None publish how thorough it is.","This is ordinary background screening with work continuing where possible. It does not assume citizenship exclusion. Both the affected insider risk and productive days blocked are marginal to checks already conducted.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Even light checks can deter strong candidates who value privacy, and they can be applied unevenly to foreign-born researchers. If that pushes a few key people to labs abroad, the cost is larger than a few days.","RAND, Securing AI Model Weights (2024) <https://www.rand.org/pubs/research_reports/RRA2849-1.html> | Just Security, Vetting foreign AI talent: security without exclusion (2026) <https://www.justsecurity.org/145569/vetting-foreign-ai-talent-security-without-exclusion/>"
"personnel-security","policy","sides","Clearance-level vetting for lab staff","Background checks for all staff; clearance-level vetting for anyone who touches the model weights.","Frontier developers' staff with access to model weights or key research.","no","cond","no","0.02455","0.07308","0.14162","0.00139","0.02245","0.03736","0.00124","0.02004","0.03335","0.05","0.05","0.04","0.04","0.0050","0.0200","0.0400","Small","security","catastrophe power","Screens staff with access to the most powerful models the way governments screen people with access to secrets.","Clearance-level vetting is what governments use for secrets. It makes insider theft much harder.","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up about 2 days behind where it would be; China falls under a day directly; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","Per year","Low","medium","How many researchers vetting would slow down or exclude, and how much espionage it would actually stop.","Background checks for all employees (RAND security level 3). | A personnel reliability program for staff with direct access to model weights (RAND security level 4).","Labs run some insider-threat programs, but none require government-style clearances. No 2025 or 2026 bill would mandate them. The Advanced AI Security Readiness Act asks the NSA to consider personnel vetting, and Senator Banks asked nine AI CEOs about their vetting in April 2026.","Sensitive roles, interim access, hiring flow, productive work retained during waiting and departures are modeled separately. A portion of lost U.S. capacity may join Chinese research. Government clearance processing time is a context anchor, not an observed private-lab delay.
In the model, a year after the rule takes effect, U.S. capability is about 2 days behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, about 1 day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","If vetting drove even a tenth of top researchers out of U.S. labs, many would go to labs elsewhere, some in China. That could cost months, and it would hand talent to the country the rule is meant to protect against.","RAND, Securing AI Model Weights (2024) <https://www.rand.org/pubs/research_reports/RRA2849-1.html> | Advanced AI Security Readiness Act, H.R. 3919 <https://www.govinfo.gov/content/pkg/BILLS-119hr3919ih/html/BILLS-119hr3919ih.htm> | Senator Banks letter on Chinese espionage in U.S. AI (April 2026) <https://www.banks.senate.gov/news/press-releases/senator-banks-raises-concerns-over-chinese-espionage-targeting-u-s-artificial-intelligence-sector/> | MacroPolo Global AI Talent Tracker <https://macropolo.org/interactive/digital-projects/the-global-ai-talent-tracker/> | House Select Committee testimony, Yusuf Mahmood (April 2026) <https://docs.house.gov/meetings/ZS/ZS00/20260416/119165/HHRG-119-ZS00-Wstate-MahmoodY-20260416.pdf>"
"superintelligence-ban","policy","specials","Ban on superintelligence","Ban AI that outperforms people across most areas, and pause advanced development until regulators set rules.","Frontier AI development above compute thresholds set each year.","yes","yes","yes","3.61367","5.58476","7.88436","1.31406","2.62812","4.20499","0","0","0","5.58","4.93","4.27","3.61","0.0000","0.1200","0.2500","Large","slowdown","catastrophe power","Stops U.S. labs from building AI smarter than humans until there's a way to control it.","It directly stops U.S. labs from building the systems people worry about most. China isn't bound, and a ban is hard to define and enforce, so the range is very wide.","no","estimate","A pause with no end date, measured a year in: training stops while research continues, with no catch-up because the pause doesn't end. We estimate about 5.5 months behind, on the same logic as the modeled six-month pause.","Per year","Low","low","How long the pause would last and how much research would continue during it.","Permanently prohibit superintelligent AI, defined as exceeding humans across most domains or able to disempower humanity. | Pause advanced AI development until a new cabinet-level Department of AI sets safety rules. | Use compute thresholds, updated yearly, to target recursive self-improvement; penalties up to 20 years in prison. | Direct the U.S. to seek international agreements.","No lab has stopped frontier development. Polls show broad public support for going slower: a 2025 Future of Life Institute poll found 64% of Americans say superhuman AI should not be built until proven safe, or never.","Senators Sanders and Representative Casar introduced the Ban Artificial Superintelligence Act on September 23, 2026. It pairs a permanent ban on superintelligence with a pause on advanced development until a new Department of AI writes rules, which could take a year or more.
While the pause holds, large training runs stop. Research on existing models continues, and hardware and recipes keep improving, but with no end date there is no catch-up within the year. On the simulation model's logic for the six-month pause, we estimate the U.S. frontier ends the year about 5.5 months behind where it would have been, with a range of about 3.5 to 8 months.","A pause with no end date may last far longer than a year, and a permanent ban on the most capable systems would end the U.S. frontier altogether. If China does not join, the lead would be gone within the first year.","Sanders and Casar introduce the Ban Artificial Superintelligence Act (Sept 23, 2026) <https://www.sanders.senate.gov/press-releases/news-sanders-casar-introduce-legislation-to-create-new-federal-agency-to-ban-artificial-superintelligence-pause-advanced-ai-development/> | NBC News on the Sanders–Casar bill (Sept 23, 2026) <https://www.nbcnews.com/politics/congress/bernie-sanders-greg-casar-propose-ai-superintelligence-ban-20-year-jai-rcna599460> | Statement on Superintelligence (Oct 2025) <https://superintelligence-statement.org/> | Future of Life Institute poll on superhuman AI (2025) <https://futureoflife.org/recent-news/americans-want-regulation-or-prohibition-of-superhuman-ai/>"
"mutual-pause","policy","specials","Verified six-month pause with China","Both countries pause frontier training for six months, with verification.","Frontier training runs in both the U.S. and China.","yes","yes","yes","1.1498","1.67543","2.29961","0.45335","0.9067","1.45072","0.65703","1.31406","1.67543","0.36","0.13","-0.09","-0.32","0.0000","0.0500","0.1200","Medium","","catastrophe","Stops both America and China from racing ahead while safety catches up.","Both sides stopping removes the race pressure behind risky shortcuts. It's temporary and hard to verify, so the lasting effect is moderate.","no","estimate","Both countries pause six months. America loses about 51 days, as in the modeled six-month pause. We assume imperfect verification lets China keep about a fifth of its progress, so China loses about 40 days. Net: about 11 days.","one-time","Low","low","Whether a pause can be verified. The key technologies have not been built or tested.","Both countries halt training runs above an agreed threshold for six months. | Verify compliance through chip tracking, monitored data centers and inspections.","There is no U.S.–China agreement on frontier AI. In November 2024 Biden and Xi affirmed human control over nuclear launch decisions. In September 2026 the U.S. proposed an AI dialogue with a mechanism for notifying each other of serious incidents.","Every other pause on the menu assumes the U.S. acts alone. A verified mutual pause is what the 2023 open letter actually asked for, and it changes the math: if both sides stop, the gap does not move.
The catch is verification. Researchers writing on verification in 2025 found that many of the needed technologies have yet to be built or stress-tested. The simulation model prices a six-month U.S. pause at about 51 days behind a year later. We assume imperfect verification lets China keep about a fifth of that, so China loses about 40 days and the net is about 11 days. With good verification it could be close to zero; with poor verification it approaches the unilateral price.","A verification regime would take years to build, so a pause agreed quickly would rely on trust. If China kept most of its progress, the U.S. would lose close to the full six months.","Baker, Kulp, Marks, Brundage, Heim, on verifying international AI agreements (2025) <https://arxiv.org/abs/2507.15916> | MIRI Technical Governance Team, draft international agreement (2025) <https://techgov.intelligence.org/research/an-international-agreement-to-prevent-the-premature-creation-of-artificial-superintelligence> | Al Jazeera, U.S.–China open high-level talks (Sept 20, 2026) <https://www.aljazeera.com/economy/2026/9/20/us-china-open-high-level-talks-ahead-of-trump-xi-summit> | Dawn, Biden–Xi statement on nuclear launch decisions (Nov 2024) <https://www.dawn.com/news/1873065>"
"open-weight-limits","policy","mains","Limits on releasing open-weight models","No publishing the weights of models above a capability threshold. API access stays allowed.","Models above a capability threshold.","no","no","cond","0.00329","0.01643","0.0657","0.0657","0.13141","0.21025","0","0","0","0.02","-0.02","-0.05","-0.08","-0.0100","0.0200","0.0500","Small","misuse","catastrophe","Keeps the most dangerous models from being downloaded by anyone, including terrorists and rival states.","Once weights are public, safeguards can be stripped out. But open models also help safety research, and Chinese labs already release large open models, so this is debated.","no","estimate","Our estimate on the model's logic: under a day for the U.S. open ecosystem, since U.S. frontier labs are mostly closed. China loses about a day through its dependence on U.S. models at ""a little.""","one-time","Low","medium","How much China gains from U.S. open weights when Chinese labs already publish the largest open models.","Prohibit publishing the weights of models above a capability threshold. | Allow access through hosted APIs and apps.","No U.S. law restricts open weights. The 2025 AI Action Plan encourages open models and leaves the release decision to developers. Most U.S. frontier models are closed; Chinese labs release the largest open models.","NTIA's 2024 report found current evidence insufficient to justify restrictions and recommended monitoring. The 2025 AI Action Plan backs open models. In 2026, after Chinese labs released near-frontier open models, officials floated restrictions on Chinese open models; Anthropic said it has never advocated a ban.
Hugging Face reports that in almost every month of 2026, the largest open model from a Chinese lab was larger than any American one. That limits how much China gains from U.S. open weights. U.S. frontier labs mostly keep their best weights closed already, so we estimate under a day of lost U.S. progress. Denied open weights slow China by about a day at the ""a little"" setting, more if China depends heavily on U.S. models.","Open models are how most researchers, universities and startups work with frontier AI. Closing them could slow U.S. research broadly and cede the open ecosystem to Chinese models, which already lead downloads.","NTIA, Open model weights report (July 2024) <https://www.ntia.gov/programs-and-initiatives/artificial-intelligence/open-model-weights-report> | America's AI Action Plan (July 2025) <https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf> | Hugging Face, State of Open Models: Summer 2026 <https://huggingface.co/blog/state-of-open-models-summer-2026> | Lawfare, The knives are out for open-weight AI models (July 2026) <https://www.lawfaremedia.org/article/knives-are-out-for-open-weight-ai-models> | Anthropic, Position on open-weights models (July 2026) <https://www.anthropic.com/news/position-open-weights-models>"
"chip-sales","policy","offmenu","Sell advanced AI chips to China","License sales of advanced chips like Nvidia's H200 to China.","Exports of advanced AI chips to China.","no","no","no","0","0","0","0","0","0","-1.31406","-0.49277","-0.09855","0.49","0.49","0.49","0.49","-0.0200","0.0000","0.0100","None","","","Not a safety rule. It lets U.S. chipmakers sell advanced chips to China.","It speeds China's labs. The effect on risk is debated.","no","partial","Our estimate on the model's export-control logic, which prices relaxing all controls at about four weeks: licensing H200-class chips alone is about two weeks, with deliveries so far far below the cap.","Per year","Low","medium","How many chips China actually buys. Deliveries so far are a small fraction of what is licensed.","License exports of H200-class chips to approved Chinese buyers, case by case. | Cap China's shipments at 50% of U.S. shipments of the same chip; require U.S. testing and buyer security procedures. | Government takes a share of revenue.","In January 2026 the Commerce Department moved H200 licenses to case-by-case review with a 50% cap. China's government initially blocked purchases; by August 2026, ByteDance and Tencent had each received about 10,000 H200s.","The Institute for Progress estimates the U.S. lead in AI compute produced in 2026 is 21 to 49 times with no exports, falling to between 6.7 and 1.2 times with unrestricted H200 sales. IAPS estimates the licensed cap would raise China's total 2026 processing power by more than 250%, and CNAS estimates the cap allows about 890,000 H200s.
Converting compute to progress: a 3.5-fold increase in compute is roughly nine months of compute growth at fivefold a year, and compute drives most progress. At full use of the cap that would be several months of lead a year. The simulation model finds that relaxing all chip controls now would cost about four weeks of lead a year in, because compute takes time to turn into better models. Licensing H200-class chips alone, with deliveries so far far below the cap, we price at about two weeks, with a range of a few days to about six weeks.","If China buys up to the cap, the compute gap could shrink from dozens of times to nearly even within a year, and the lead would erode faster than any safety rule on the menu could cost.","BIS revises license review policy for chips to China (Jan 13, 2026) <https://www.bis.gov/press-release/department-commerce-revises-license-review-policy-semiconductors-exported-china> | Institute for Progress, Should the US sell Hopper chips to China? (Dec 2025) <https://ifp.org/should-the-us-sell-hopper-chips-to-china/> | IAPS, Assessing outcomes of H200 exports to China (Mar 2026) <https://www.iaps.ai/research/assessing-outcomes-of-h200-exports-to-china> | CNAS, Unpacking the H200 export policy (Jan 2026) <https://www.cnas.org/publications/cnas-insights/cnas-insights-unpacking-the-h200-export-policy> | Engadget, China allows ByteDance and Tencent to import 10,000 H200s (Aug 2026) <https://www.engadget.com/2239738/china-reportedly-allows-bytedance-tencent-import-10000-h200-chips/>"
"chip-tracking","policy","offmenu","Location verification for AI chips","Require exported AI chips to verify their location, to stop smuggling to China.","Export-controlled AI chips and their exporters.","no","no","no","0","0","0","0","0","0","0","0.16426","0.49277","-0.16","-0.16","-0.16","-0.16","-0.0100","0.0000","0.0200","None","","power","Stops advanced chips from being smuggled to China.","It makes smuggling harder. The effect on risk is debated.","no","partial","Our estimate on the model's export-control logic: cutting smuggling, which may supply about a third of China's compute, is worth about 5 days a year in.","Per year","Low","medium","How much smuggling verification would stop, and how quickly smugglers would adapt.","Within 180 days, require location verification on export-controlled AI chips (Chip Security Act). | Require exporters to report diversion or tampering. | Study further security mechanisms within a year.","Not yet law. The Chip Security Act passed a House committee in March 2026 and was added to the Senate's defense bill in July 2026. Nvidia has released opt-in location tools.","CNAS estimated that 10,000 to several hundred thousand chips were smuggled to China in 2024. Epoch AI's 2026 analysis puts the total through 2025 at a median of 660,000 H100-equivalents, about a third of China's compute. The Justice Department indicted three people in March 2026 over about $2.5 billion of allegedly diverted servers.
If location verification cut smuggling by a third to a half, China would lose roughly a sixth of its compute. At fivefold yearly compute growth that is about a month of compute progress, and compute drives most progress, but the simulation model shows compute changes take time to show up in capability. We price about 5 days of Chinese delay a year in, with a range of zero to about two weeks.","Smugglers adapt: they rent chips abroad, route through third countries, or spoof location checks. If verification only shifts smuggling into cloud rental, the benefit could be near zero.","Chip Security Act bill text (2025) <https://huizenga.house.gov/uploadedfiles/chip_security_act_5.13.25_final.pdf> | Epoch AI, Chip smuggling (Apr 2026) <https://epoch.ai/publications/chip-smuggling> | CNAS, Countering AI chip smuggling (June 2025) <https://www.cnas.org/publications/reports/countering-ai-chip-smuggling-has-become-a-national-security-priority> | FDD on the Super Micro-linked smuggling indictment (Mar 2026) <https://www.fdd.org/analysis/2026/03/20/exposure-of-major-chinese-linked-chip-smuggling-operations-shows-limits-of-industry-self-policing/>"
"preemption","policy","speedups","Federal preemption of state AI laws","One national rulebook: states may not regulate frontier AI development.","State laws that regulate AI developers.","no","no","no","-0.01643","-0.00329","-0.00033","0","0","0","0","0","0","-0.00","-0.00","-0.00","-0.00","-0.0500","-0.0300","0.0000","Adds risk","","","Replaces state AI laws with one federal standard. It removes protections rather than adding them.","It removes the state frontier laws, which together cut about 3% of the risk here. A federal replacement could add some of that back.","no","estimate","Our estimate: removes the state frontier laws, which the model prices at under a day combined.","one-time","Low","low","How much the broader patchwork of state AI laws, beyond frontier laws, actually slows frontier labs. No study has measured it.","Prohibit states from adopting or enforcing laws that impose new obligations on AI developers. | Leave generally applicable laws and protections for minors in place, as most proposals do.","No preemption law has passed. The Senate stripped a 10-year moratorium 99–1 in July 2025. An executive order in December 2025 created a Justice Department task force to challenge state laws; it had filed no lawsuits by September 2026. A House draft would preempt state laws on development for three years.","The frontier-specific state laws on this menu, California's SB 53 and New York's RAISE Act, each cost under a day in the simulation model, and they largely overlap. Preempting them buys back under a day.
The broader patchwork is larger. Thirty-eight states adopted around 100 AI measures in 2025, according to NCSL. But most regulate how AI is used by deployers, in hiring, insurance or chatbots, and rarely touch how frontier labs train models. We found no study measuring their effect on frontier progress. We price the frontier effect at under a day, with a range up to half a day.","Supporters argue the real cost of a patchwork is not paperwork but uncertainty: fifty different liability rules could make labs slower and more cautious across every product. If that is right, preemption is worth more than a week.","Senate strikes AI moratorium 99–1 (July 1, 2025) <https://www.commerce.senate.gov/press/dem/release/senate-strikes-ai-moratorium-from-budget-reconciliation-bill-in-overwhelming-99-1-vote-2025-7/> | Executive Order 14365 (Dec 11, 2025) <https://www.presidency.ucsb.edu/documents/executive-order-14365-ensuring-national-policy-framework-for-artificial-intelligence> | FRONTIER Act text <https://trahan.house.gov/uploadedfiles/oberno_079_xml_-_the_frontier_act_-_final_text.pdf> | Roll Call, three-year preemption draft (June 2026) <https://rollcall.com/2026/06/04/bipartisan-ai-draft-proposes-three-year-preemption-of-state-laws/> | NCSL, Artificial intelligence 2025 legislation <https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation>"
"visa-restrictions","policy","speedups","$100,000 fee on new H-1B visas","A $100,000 fee on each new H-1B petition for skilled foreign workers.","New H-1B petitions.","no","no","no","0.00986","0.0657","0.26281","0","0","0","0","0","0","0.07","0.07","0.07","0.07","0.0000","0.0000","0.0000","None","","","Not a safety rule. It changes who can come to America to work on AI.","It changes the pace of U.S. progress, not safety practices. No clear effect on risk.","no","estimate","Our estimate: about 2 days a year in, mostly from a thinner pipeline of students and researchers. Labs can pay the fee.","Per year","Low","medium","How much a fee changes who comes to the U.S. to study and work in AI. The fee is currently blocked in court.","Pay $100,000 with each new H-1B petition (2025 proclamation); renewals exempt. | A proposed 2026 regulation would set a $103,265 fee on cap-subject petitions, exempting universities and nonprofit research groups.","The fee took effect in September 2025, was vacated by a federal court in June 2026, and remains unenforceable. The proclamation was extended to September 2027. New international student enrollment fell 17% in fall 2025.","CSET found in 2019 that two-thirds of graduate students in AI-related programs were international and that most stay in the U.S. after graduating. The Institute for Progress found that 25 of the 42 U.S. companies on the Forbes AI 50 had an immigrant founder, and most of those founders first came on student visas.
A $100,000 fee is small next to a frontier researcher's pay, so large labs would mostly absorb it. The effect falls on startups, universities and the students who become tomorrow's researchers. The pipeline effect builds slowly, so a year in we estimate about 2 days of lost progress, with a range of under a day to about a week.","Talent compounds. If the U.S. becomes a less reliable destination, top students go elsewhere, and some go to China. The cost could grow year after year and exceed a month.","Proclamation restricting entry of certain nonimmigrant workers (Sept 19, 2025) <https://www.whitehouse.gov/presidential-actions/2025/09/restriction-on-entry-of-certain-nonimmigrant-workers/> | CUPA-HR, federal court vacates H-1B fee (June 2026) <https://www.cupahr.org/resource/federal-court-vacates-h-1b-visa-fee-policy/> | DiRaimondo & Schroeder, proclamation extended but fee blocked (Sept 2026) <https://www.diraimondoschroeder.com/updates/2026/9/21/trump-administration-extends-100000-h-1b-proclamation-through-september-2027-but-fee-remains-blocked-by-court-order> | CSET, Keeping top AI talent in the United States (2019) <https://cset.georgetown.edu/publication/keeping-top-ai-talent-in-the-united-states/> | IIE Open Doors 2025 <https://www.iie.org/news/open-doors-2025-press-release/>"
